index,name,lat,long,file
1,Engelheim Vineyards,34.6064,-84.5686,/1_engelheim.m4a
2,Engelheim Vineyards,34.6064,-84.5686,/2_engelheim.m4a
3,Tallulah Gorge,34.7427,-83.3965,/3_Tallulah.m4a
4,Jumping Goat,34.632819,-83.746325,/4_jumpinggoat.m4a
5,River Arts District,35.5951,-82.5515,/5_AVLriverarts.m4a
6,Asheville,35.584592,-82.566478,/6_AVLriverarts.m4a
7,Pisgah National Forest,35.2847,-82.727,/7_pisgah.m4a
8,Mt. Mitchell,35.765,-82.2652,/8_MtMitchell.m4a
9,Shenendoah National Park,38.4755,-78.4535,/9_Shenendoah.m4a
10,King Tire,35.6145,-88.8139,/10_kingtire.m4a
11,Civic Center,35.6145,-88.8139,/11_civiccenter.m4a
12,Lubbock,33.5779,-101.8552,/12_lubbock.m4a
